caseid,Age_group,Sex,Province,Household_size,Find_job,Further_schooling,Morejob,Activity,Media,Stress
84,75 years and over,Female,Manitoba,Two household members,notask,No,None,No time,Sometime,0
85,55 to 64,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
86,35 to 44,Female,British Columbia,Five household members,notask,Yes,None,Sometime,Sometime,1
87,65 to 74,Male,Nova Scotia,One household member,notask,Yes,None,No time,Sometime,0
88,55 to 64,Female,Newfoundland and Labrador,One household member,notask,Yes,Yes,Sometime,Sometime,0
89,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
90,55 to 64,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
91,25 to 34,Female,Ontario,Three household members,asked,Yes,None,Sometime,Sometime,1
92,65 to 74,Female,British Columbia,One household member,notask,No,None,Sometime,Sometime,1
93,75 years and over,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
94,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
95,45 to 54,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
96,35 to 44,Female,Ontario,Three household members,asked,Yes,None,Sometime,Sometime,0
97,35 to 44,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,0
98,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
99,65 to 74,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
101,55 to 64,Female,Nova Scotia,Two household members,notask,No,None,Sometime,Sometime,1
102,75 years and over,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,0
103,35 to 44,Male,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
104,25 to 34,Female,Ontario,Four household members,notask,Yes,Yes,Sometime,Sometime,1
105,55 to 64,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
106,45 to 54,Female,British Columbia,One household member,notask,Yes,None,No time,No time,1
107,55 to 64,Male,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,0
108,15 to 24,Male,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,0
109,45 to 54,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
110,35 to 44,Female,New Brunswick,Five household members,notask,Yes,None,No time,Sometime,1
111,65 to 74,Female,Manitoba,One household member,notask,No,None,Sometime,Sometime,0
112,25 to 34,Male,New Brunswick,Three household members,notask,Yes,None,Sometime,Sometime,0
113,75 years and over,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
114,45 to 54,Female,Alberta,Four household members,notask,No,None,No time,Sometime,1
115,65 to 74,Male,Nova Scotia,Two household members,notask,Yes,Yes,No time,Sometime,1
116,45 to 54,Male,Newfoundland and Labrador,Three household members,notask,Yes,None,Sometime,Sometime,1
117,55 to 64,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
118,35 to 44,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
119,25 to 34,Male,Nova Scotia,Four household members,notask,Yes,Yes,No time,Sometime,0
120,35 to 44,Male,Alberta,Two household members,asked,No,None,Sometime,Sometime,1
121,25 to 34,Female,Quebec,Three household members,notask,Yes,None,Sometime,No time,1
123,65 to 74,Male,Quebec,Two household members,notask,No,None,No time,Sometime,0
124,65 to 74,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
125,25 to 34,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
126,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
127,35 to 44,Female,Ontario,Three household members,notask,No,None,No time,Sometime,1
128,25 to 34,Female,Manitoba,Five household members,notask,Yes,None,Sometime,Sometime,0
129,45 to 54,Male,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
130,25 to 34,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
131,35 to 44,Male,British Columbia,Two household members,notask,No,None,Sometime,Sometime,1
132,15 to 24,Male,British Columbia,Five household members,notask,No,None,Sometime,Sometime,0
133,45 to 54,Female,Alberta,Two household members,asked,No,None,Sometime,Sometime,0
135,45 to 54,Male,British Columbia,Two household members,notask,Yes,Yes,Sometime,Sometime,0
136,65 to 74,Male,Saskatchewan,One household member,notask,Yes,None,Sometime,Sometime,0
137,35 to 44,Male,Ontario,Four household members,notask,No,None,Sometime,Sometime,1
138,45 to 54,Male,Saskatchewan,Two household members,notask,No,None,No time,Sometime,1
139,55 to 64,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
140,75 years and over,Female,Nova Scotia,One household member,notask,No,None,Sometime,Sometime,0
141,75 years and over,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
142,35 to 44,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,No time,Sometime,0
143,35 to 44,Female,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,Sometime,1
144,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
145,15 to 24,Female,British Columbia,Four household members,notask,No,None,No time,Sometime,0
146,55 to 64,Male,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
147,35 to 44,Female,Ontario,Four household members,notask,Yes,None,No time,No time,1
148,65 to 74,Male,Alberta,One household member,notask,No,None,No time,Sometime,0
149,15 to 24,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
150,15 to 24,Female,Saskatchewan,Six household members or more,notask,No,None,Sometime,Sometime,0
151,15 to 24,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
152,15 to 24,Male,Ontario,Five household members,notask,No,None,Sometime,Sometime,1
153,55 to 64,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,No time,0
154,45 to 54,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,1
155,15 to 24,Female,New Brunswick,Four household members,notask,No,None,Sometime,Sometime,1
156,45 to 54,Male,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
157,65 to 74,Male,Ontario,Three household members,notask,No,None,No time,Sometime,0
158,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
159,35 to 44,Male,Nova Scotia,One household member,asked,Yes,None,No time,Sometime,1
160,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
161,55 to 64,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
162,55 to 64,Male,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,0
163,25 to 34,Female,New Brunswick,Four household members,notask,Yes,None,No time,Sometime,0
164,55 to 64,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,1
165,65 to 74,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
166,45 to 54,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
167,45 to 54,Female,Alberta,Two household members,asked,Yes,None,No time,Sometime,1
168,25 to 34,Male,Prince Edward Island,One household member,asked,No,None,Sometime,Sometime,1
169,55 to 64,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
170,35 to 44,Female,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,1
171,35 to 44,Male,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,Sometime,1
172,65 to 74,Male,Saskatchewan,Two household members,notask,No,None,Sometime,Sometime,0
173,65 to 74,Male,Quebec,Two household members,notask,No,None,No time,Sometime,0
174,15 to 24,Female,British Columbia,Three household members,notask,No,None,Sometime,Sometime,1
175,55 to 64,Female,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,0
176,55 to 64,Male,Quebec,Two household members,notask,Yes,Yes,No time,Sometime,0
177,65 to 74,Female,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,0
178,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
179,55 to 64,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
180,45 to 54,Male,British Columbia,Four household members,notask,Yes,None,No time,Sometime,0
181,55 to 64,Female,British Columbia,One household member,notask,No,None,Sometime,Sometime,1
182,25 to 34,Female,New Brunswick,Two household members,notask,Yes,None,No time,No time,1
183,45 to 54,Male,Prince Edward Island,Two household members,notask,Yes,None,No time,Sometime,0
184,15 to 24,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
185,75 years and over,Male,Alberta,Two household members,notask,No,None,No time,Sometime,0
186,75 years and over,Female,Newfoundland and Labrador,One household member,notask,No,None,Sometime,Sometime,0
187,55 to 64,Female,Saskatchewan,Two household members,notask,Yes,None,No time,Sometime,1
188,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
189,35 to 44,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,1
190,45 to 54,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
191,45 to 54,Female,Manitoba,Two household members,notask,Yes,None,No time,Sometime,1
192,35 to 44,Female,New Brunswick,Four household members,notask,Yes,None,No time,Sometime,1
193,65 to 74,Female,Nova Scotia,Two household members,notask,No,None,No time,Sometime,0
194,55 to 64,Female,Alberta,Two household members,notask,Yes,None,Sometime,No time,1
195,45 to 54,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,1
196,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
197,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,No time,1
198,25 to 34,Male,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,0
199,25 to 34,Female,Alberta,Three household members,notask,Yes,None,No time,Sometime,1
200,75 years and over,Female,Nova Scotia,One household member,notask,No,None,No time,Sometime,0
201,15 to 24,Female,New Brunswick,Two household members,notask,Yes,None,Sometime,Sometime,1
202,45 to 54,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
203,65 to 74,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
204,45 to 54,Male,New Brunswick,Two household members,asked,Yes,None,No time,Sometime,1
205,55 to 64,Female,British Columbia,Two household members,notask,Yes,Yes,No time,No time,0
206,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
207,25 to 34,Male,Newfoundland and Labrador,Four household members,notask,Yes,None,Sometime,Sometime,1
208,45 to 54,Male,Manitoba,Four household members,notask,Yes,None,No time,Sometime,1
209,65 to 74,Male,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,1
210,15 to 24,Male,Quebec,Four household members,asked,No,None,Sometime,Sometime,1
211,45 to 54,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
212,45 to 54,Female,British Columbia,Two household members,asked,Yes,None,No time,Sometime,1
213,55 to 64,Male,Ontario,Two household members,notask,No,None,No time,No time,1
214,75 years and over,Male,Manitoba,One household member,notask,No,None,Sometime,Sometime,0
215,45 to 54,Female,Quebec,Two household members,notask,No,None,No time,Sometime,0
216,25 to 34,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
217,35 to 44,Female,British Columbia,Four household members,notask,Yes,None,No time,Sometime,1
218,55 to 64,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
219,25 to 34,Female,Alberta,Three household members,notask,Yes,None,No time,Sometime,1
220,25 to 34,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
221,15 to 24,Male,Quebec,Five household members,notask,Yes,None,No time,Sometime,1
222,25 to 34,Male,Quebec,One household member,notask,Yes,None,Sometime,No time,0
223,35 to 44,Female,British Columbia,Five household members,notask,Yes,None,Sometime,Sometime,1
224,75 years and over,Female,Saskatchewan,One household member,notask,No,None,Sometime,Sometime,0
225,35 to 44,Male,Quebec,Two household members,notask,No,None,No time,Sometime,1
226,55 to 64,Male,Ontario,Two household members,notask,No,None,No time,No time,1
227,75 years and over,Male,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
228,45 to 54,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,Sometime,0
229,55 to 64,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
230,15 to 24,Female,Nova Scotia,Four household members,notask,No,None,Sometime,No time,1
231,35 to 44,Male,Ontario,One household member,notask,No,None,No time,Sometime,0
232,65 to 74,Female,Manitoba,One household member,notask,No,None,Sometime,Sometime,0
233,75 years and over,Female,Ontario,One household member,notask,No,None,No time,Sometime,0
234,65 to 74,Female,Quebec,Two household members,notask,No,None,No time,Sometime,0
235,45 to 54,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
236,45 to 54,Male,British Columbia,Two household members,notask,No,None,No time,Sometime,0
238,35 to 44,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
239,45 to 54,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
240,45 to 54,Male,Quebec,Two household members,notask,No,None,No time,Sometime,1
241,45 to 54,Male,Quebec,One household member,notask,Yes,None,No time,Sometime,0
242,35 to 44,Male,Alberta,Four household members,notask,No,None,Sometime,Sometime,1
243,55 to 64,Female,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,1
244,55 to 64,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
245,75 years and over,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,0
246,25 to 34,Male,Quebec,Four household members,asked,Yes,None,Sometime,No time,1
247,55 to 64,Male,Saskatchewan,One household member,notask,No,None,Sometime,Sometime,0
248,15 to 24,Female,Alberta,Four household members,asked,Yes,None,No time,Sometime,1
249,75 years and over,Female,New Brunswick,One household member,notask,Yes,None,Sometime,Sometime,0
250,55 to 64,Female,Quebec,Two household members,notask,No,None,No time,Sometime,1
251,75 years and over,Female,Ontario,One household member,notask,No,None,No time,Sometime,0
252,55 to 64,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
253,55 to 64,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,1
254,45 to 54,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
255,35 to 44,Male,Ontario,Four household members,notask,No,None,No time,No time,0
256,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
257,15 to 24,Male,Manitoba,Five household members,notask,Yes,None,Sometime,Sometime,0
258,45 to 54,Female,New Brunswick,Three household members,asked,Yes,None,No time,Sometime,0
259,45 to 54,Male,British Columbia,Two household members,asked,No,None,Sometime,No time,1
260,55 to 64,Male,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
261,25 to 34,Male,British Columbia,One household member,asked,Yes,None,Sometime,Sometime,1
262,75 years and over,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
263,75 years and over,Male,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,0
264,65 to 74,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,Sometime,Sometime,0
265,55 to 64,Female,Saskatchewan,One household member,notask,No,None,No time,Sometime,0
266,55 to 64,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
267,55 to 64,Female,Prince Edward Island,Four household members,notask,No,None,No time,No time,1
268,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
269,15 to 24,Female,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
270,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
271,45 to 54,Female,Nova Scotia,One household member,notask,Yes,None,Sometime,Sometime,1
272,25 to 34,Male,Quebec,One household member,notask,No,None,Sometime,No time,1
273,35 to 44,Female,British Columbia,Four household members,notask,Yes,None,No time,Sometime,1
274,45 to 54,Female,Nova Scotia,Four household members,notask,Yes,None,No time,Sometime,1
275,15 to 24,Male,Alberta,Three household members,asked,No,None,Sometime,Sometime,1
276,65 to 74,Male,Alberta,One household member,notask,No,None,No time,Sometime,0
277,55 to 64,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
278,35 to 44,Male,Manitoba,Six household members or more,notask,Yes,None,No time,No time,0
279,65 to 74,Female,Ontario,One household member,notask,No,None,No time,Sometime,0
280,75 years and over,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
281,25 to 34,Female,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,1
282,55 to 64,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,1
283,55 to 64,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
284,65 to 74,Female,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,1
285,45 to 54,Female,New Brunswick,Two household members,notask,Yes,None,Sometime,Sometime,0
286,45 to 54,Male,British Columbia,One household member,notask,Yes,None,No time,Sometime,1
287,25 to 34,Female,Ontario,Six household members or more,notask,Yes,None,No time,Sometime,0
288,65 to 74,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
289,65 to 74,Male,Saskatchewan,Four household members,notask,Yes,None,Sometime,Sometime,0
290,35 to 44,Female,Quebec,Three household members,notask,Yes,None,No time,Sometime,1
291,35 to 44,Female,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,No time,0
292,45 to 54,Male,Saskatchewan,Two household members,notask,Yes,None,No time,Sometime,1
293,55 to 64,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
294,25 to 34,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
295,25 to 34,Female,Prince Edward Island,Three household members,notask,No,None,Sometime,Sometime,1
296,75 years and over,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
297,15 to 24,Female,Alberta,Two household members,notask,No,None,Sometime,Sometime,1
298,65 to 74,Male,British Columbia,Three household members,notask,Yes,None,No time,Sometime,0
299,25 to 34,Male,British Columbia,One household member,asked,Yes,None,Sometime,No time,0
300,55 to 64,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,1
301,35 to 44,Male,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
302,45 to 54,Female,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
303,45 to 54,Female,Quebec,Five household members,notask,Yes,None,No time,Sometime,1
304,25 to 34,Male,Quebec,One household member,asked,Yes,None,Sometime,Sometime,1
305,35 to 44,Male,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,0
306,35 to 44,Male,Ontario,Five household members,notask,No,None,No time,No time,0
307,75 years and over,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
308,35 to 44,Male,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,0
309,55 to 64,Female,British Columbia,Two household members,notask,No,Yes,Sometime,Sometime,1
310,25 to 34,Female,Saskatchewan,Three household members,notask,Yes,None,No time,Sometime,1
311,25 to 34,Male,British Columbia,Three household members,notask,Yes,None,No time,Sometime,1
312,45 to 54,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
313,45 to 54,Female,Ontario,Three household members,notask,Yes,None,Sometime,No time,1
314,45 to 54,Male,Saskatchewan,Four household members,notask,Yes,None,Sometime,Sometime,0
315,45 to 54,Male,Quebec,One household member,asked,No,None,Sometime,No time,0
316,45 to 54,Male,British Columbia,Five household members,notask,Yes,None,No time,No time,0
317,35 to 44,Male,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,0
318,35 to 44,Female,Manitoba,Three household members,notask,Yes,None,Sometime,Sometime,1
319,65 to 74,Female,British Columbia,Two household members,notask,No,None,Sometime,Sometime,0
320,65 to 74,Female,British Columbia,Two household members,notask,No,None,No time,Sometime,0
321,55 to 64,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,1
322,55 to 64,Female,Quebec,Two household members,notask,No,None,No time,No time,1
323,75 years and over,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,0
325,55 to 64,Male,Manitoba,Two household members,notask,Yes,None,Sometime,Sometime,0
326,45 to 54,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,1
327,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
328,45 to 54,Female,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,0
329,15 to 24,Female,New Brunswick,Two household members,notask,No,None,Sometime,Sometime,1
330,55 to 64,Female,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,0
331,45 to 54,Female,Quebec,One household member,notask,Yes,None,Sometime,Sometime,1
332,45 to 54,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,1
333,35 to 44,Male,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,1
334,35 to 44,Female,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,0
335,15 to 24,Female,British Columbia,Four household members,notask,No,Yes,Sometime,Sometime,1
336,25 to 34,Female,British Columbia,Six household members or more,notask,Yes,None,Sometime,Sometime,0
337,45 to 54,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
338,45 to 54,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
339,35 to 44,Female,Quebec,Three household members,notask,Yes,None,No time,Sometime,0
340,75 years and over,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
341,35 to 44,Male,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,1
342,45 to 54,Male,New Brunswick,One household member,notask,Yes,None,No time,Sometime,0
343,45 to 54,Female,Alberta,Two household members,notask,Yes,None,Sometime,Sometime,0
344,55 to 64,Male,Ontario,Three household members,notask,No,None,No time,Sometime,0
345,65 to 74,Male,Quebec,Two household members,notask,No,None,No time,Sometime,0
346,25 to 34,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,No time,Sometime,1
